Geography,Year,Meal/Income,,,,,,,,,,,,,,,,,,
South East,2022,3.221639,,,,,,,,,,,,,,,,,,
South East,2003,3.657866,,,,,,,,,,,,,,,,,,
South East,2004,3.647538,,,,,,,,,,,,,,,,,,
South East,2005,4.009573,,,,,,,,,,,,,,,,,,
South East,2006,3.732207,,,,,,,,,,,,,,,,,,
South East,2007,3.964327,,,,,,,,,,,,,,,,,,
South East,2008,4.153181,,,,,,,,,,,,,,,,,,
South East,2009,4.204666,,,,,,,,,,,,,,,,,,
South East,2010,4.373178,,,,,,,,,,,,,,,,,,
South East,2011,4.778865,,,,,,,,,,,,,,,,,,
South East,2012,4.73374,,,,,,,,,,,,,,,,,,
South East,2013,4.811989,,,,,,,,,,,,,,,,,,
South East,2014,4.898731,,,,,,,,,,,,,,,,,,
South East,2015,4.696954,,,,,,,,,,,,,,,,,,
South East,2016,4.412858,,,,,,,,,,,,,,,,,,
South East,2017,4.3869,,,,,,,,,,,,,,,,,,
South East,2018,4.42217,,,,,,,,,,,,,,,,,,
South East,2019,4.176271,,,,,,,,,,,,,,,,,,
South East,2020,4.334373,,,,,,,,,,,,,,,,,,
South East,2021,3.852583,,,,,,,,,,,,,,,,,,
South East,2022,3.530047,,,,,,,,,,,,,,,,,,
Wales,2003,3.545387,,,,,,,,,,,,,,,,,,
Wales,2004,3.391629,,,,,,,,,,,,,,,,,,
Wales,2005,3.70234,,,,,,,,,,,,,,,,,,
Wales,2006,3.625272,,,,,,,,,,,,,,,,,,
Wales,2007,3.685065,,,,,,,,,,,,,,,,,,
Wales,2008,3.836971,,,,,,,,,,,,,,,,,,
Wales,2009,3.897238,,,,,,,,,,,,,,,,,,
Wales,2010,4.001927,,,,,,,,,,,,,,,,,,
Wales,2011,4.281746,,,,,,,,,,,,,,,,,,
Wales,2012,4.316331,,,,,,,,,,,,,,,,,,
Wales,2013,3.983229,,,,,,,,,,,,,,,,,,
Wales,2014,4.149306,,,,,,,,,,,,,,,,,,
Wales,2015,4.122736,,,,,,,,,,,,,,,,,,
Wales,2016,3.923415,,,,,,,,,,,,,,,,,,
Wales,2017,4.005216,,,,,,,,,,,,,,,,,,
Wales,2018,3.997315,,,,,,,,,,,,,,,,,,
Wales,2019,3.925121,,,,,,,,,,,,,,,,,,
Wales,2020,4.282288,,,,,,,,,,,,,,,,,,
Wales,2021,3.752167,,,,,,,,,,,,,,,,,,
Wales,2022,3.357143,,,,,,,,,,,,,,,,,,
West Midlands,2003,3.797961,,,,,,,,,,,,,,,,,,
West Midlands,2004,3.580217,,,,,,,,,,,,,,,,,,
West Midlands,2005,3.831723,,,,,,,,,,,,,,,,,,
West Midlands,2006,3.683214,,,,,,,,,,,,,,,,,,
West Midlands,2007,3.744962,,,,,,,,,,,,,,,,,,
West Midlands,2008,3.839467,,,,,,,,,,,,,,,,,,
West Midlands,2009,3.909782,,,,,,,,,,,,,,,,,,
West Midlands,2010,4.034788,,,,,,,,,,,,,,,,,,
West Midlands,2011,4.237104,,,,,,,,,,,,,,,,,,
West Midlands,2012,4.29629,,,,,,,,,,,,,,,,,,
West Midlands,2013,4.04321,,,,,,,,,,,,,,,,,,
West Midlands,2014,4.208126,,,,,,,,,,,,,,,,,,
West Midlands,2015,4.180554,,,,,,,,,,,,,,,,,,
West Midlands,2016,4.085899,,,,,,,,,,,,,,,,,,
West Midlands,2017,3.916606,,,,,,,,,,,,,,,,,,
West Midlands,2018,3.783879,,,,,,,,,,,,,,,,,,
West Midlands,2019,3.722409,,,,,,,,,,,,,,,,,,
West Midlands,2020,3.772944,,,,,,,,,,,,,,,,,,
West Midlands,2021,3.444915,,,,,,,,,,,,,,,,,,
West Midlands,2022,3.213893,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2003,3.309204,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2004,3.377083,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2005,3.577446,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2006,3.645892,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2007,3.539324,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2008,3.634921,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2009,3.808269,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2010,3.842727,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2011,3.983782,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2012,3.944106,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2013,4.175596,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2014,4.279805,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2015,4.122012,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2016,4.013987,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2017,3.890467,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2018,3.880643,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2019,3.792754,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2020,3.922261,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2021,3.564463,,,,,,,,,,,,,,,,,,
Yorkshire and The Humber,2022,3.630428,,,,,,,,,,,,,,,,,,
